x_coord, y_coord, z_coord, cost, zone
136000,125000, 0, 0, 1
129597.83853137158, 132875.08190545725, -27.757229953433594, 2675292.0923369713, 1
130257.62426356561, 131163.4504547193, -33.13417300658447, 3065693.645819876, 1
130257.62426356561, 132085.0981589628, -33.80179317208429, 3114167.276128255, 1
130752.46356271113, 130373.46670822488, -32.54158084625758, 3022667.5438718856, 1
131907.08859405067, 126555.2119335018, -19.569756225105493, 2080827.4623337449, 1
132072.0350270992, 125106.90839826202, -16.621880432741506, 1866792.2238278894, 1
132072.0350270992, 128003.51546874159, -25.52434820814758, 2513170.140609688, 1
132236.98146014768, 128925.16317298509, -30.753661852251405, 2892852.824641677, 1
132401.92789319617, 129846.81087722859, -35.590340738660636, 3244027.6338756373, 1
133061.7136253902, 115495.43948257981, -17.816518039769292, 1953530.7987063131, 1
133061.7136253902, 116417.08718682331, -18.280145104889698, 1987193.1835726844, 1
133226.66005843872, 117338.73489106681, -22.042501592578986, 2260365.0961317457, 1
133391.60649148724, 118260.38259531031, -26.726785362763902, 2600475.0141200535, 1
133556.55292453573, 119445.35821505195, -28.741086240372347, 2746726.552220219, 1
133721.49935758422, 120630.3338347936, -23.814956067753123, 2389056.989228924, 1
133886.44579063274, 121683.64549678616, -17.035705869883046, 1896838.6818122505, 1
134051.39222368127, 122736.95715877874, -12.065200703014721, 1535947.2013635086, 1
134216.33865672976, 123790.2688207713, -10.35757611569153, 1411962.3860015688, 1
134381.28508977825, 124975.24444051295, -11.502198262406507, 1495069.5083592443, 1
134546.23152282677, 126291.88401800366, -14.843144104257629, 1737644.226720192, 1
134711.1779558753, 127345.19567999624, -17.973621768336265, 1964937.5662848838, 1
136195.69585331183, 119313.69425730288, -18.551540251851158, 2006898.2624500564, 1
137020.42801855435, 124843.58048276388, -11.698104269559755, 1509293.5774582173, 1
137845.1601837969, 121420.31758128802, -11.61918670596577, 1503563.6414853744, 1
138010.1066168454, 122605.29320102966, -12.795704341815624, 1588986.5868644705, 1
138175.0530498939, 123526.94090527316, -13.767451171556132, 1659541.8202327075, 1
115900,106500, 0, 0, 2
113268.14165956948, 114310.46386283817, -34.32148763131573, 3151900.5238518887, 2
113268.14165956948, 115232.11156708167, -32.897719421837294, 3048525.554973572, 2
113598.03452566649, 100617.41225693474, -28.496830808308413, 2728991.9957665256, 2
113762.980958715, 113520.48011634374, -31.88643390339463, 2975099.5518502127, 2
113927.9273917635, 101539.05996117824, -28.69822621782039, 2743614.6317067984, 2
114092.873824812, 102460.70766542174, -29.49398490288892, 2801391.9642500947, 2
114257.82025786051, 112730.49636984931, -27.623552121912645, 2665586.199494863, 2
114752.65955700603, 111413.8567923586, -21.021201827058405, 2186211.992576499, 2
115412.44528920006, 109833.88929936974, -20.41987916065056, 2142551.9982656906, 2
115577.39172224856, 104040.6751584106, -21.978925080937103, 2255749.021781568, 2
115907.28458834557, 106015.63452464667, -21.019868958897852, 2186115.217551113, 2
115907.28458834557, 108517.24972187902, -23.223696048985975, 2346127.609550305, 2
116237.17745444259, 107463.93805988645, -22.81499266315999, 2316453.0462969923, 2
117061.90961968512, 105357.31473590131, -16.504199223206143, 1858247.7913196392, 2
