x_coord, y_coord, z_coord, cost, zone
118100,131000,0, 0, 1
112200,123500,0, 0, 1
106447.29188803725, 127087.6359494681, -26.311319327878362, 2570309.4379115333, 1
106608.28993280283, 128074.4611584736, -26.31729675733399, 2570743.438741046, 1
106930.286022334, 129061.2863674791, -24.883123955059606, 2466613.027755431, 1
107091.28406709958, 126429.75247679776, -26.280568729597007, 2568076.7415223583, 1
107413.28015663075, 129883.64070831702, -21.810192157154905, 2243497.8978776834, 1
107735.27624616191, 130870.46591732252, -20.005236838901688, 2112446.2290673996, 1
108057.27233569308, 131857.29112632803, -19.47069864546673, 2073635.2282719447, 1
108540.26646998983, 132844.11633533353, -19.94431198367465, 2108022.682473872, 1
108862.262559521, 124291.63119061917, -25.76768595437664, 2530838.067015043, 1
109023.26060428658, 125278.45639962467, -24.666787061308348, 2450905.5414455906, 1
109023.26060428658, 133830.94154433903, -20.59886390517851, 2155547.4720177343, 1
109184.25864905216, 126265.28160863018, -23.542895671412793, 2369303.6088560005, 1
109345.25669381775, 127252.10681763568, -22.054795127877572, 2261257.6879317556, 1
109506.25473858333, 123304.80598161367, -22.081320546832387, 2263183.6084156404, 1
109506.25473858333, 128403.40289480877, -19.48975202996035, 2075018.6297385192, 1
109667.25278334891, 129390.22810381427, -17.374639515579496, 1921447.5014518742, 1
109828.2508281145, 130541.52418098736, -16.440143011155676, 1853596.8875537757, 1
109989.24887288008, 122482.45164077575, -19.123195246174753, 2048404.187960912, 1
109989.24887288008, 131692.82025816044, -18.432266763233297, 1998238.2199713748, 1
110150.24691764567, 132844.11633533353, -21.823920266300576, 2244494.6492071794, 1
110311.24496241125, 133830.94154433903, -23.05514234039829, 2333889.4978523627, 1
110633.24105194242, 121495.62643177024, -17.067280884575936, 1899131.2362740515, 1
111760.2273653015, 120015.38861826199, -18.83645585635489, 2027585.015780017, 1
111921.22541006708, 121002.2138272675, -17.767661001751364, 1949983.4552897606, 1
112082.22345483267, 121989.039036273, -16.9694588485076, 1892028.7108300522, 1
112082.22345483267, 132679.64546716594, -30.18093514091719, 2851269.0854025176, 1
112243.22149959825, 122975.8642452785, -18.043544198421287, 1970014.396197095, 1
112243.22149959825, 133995.41241250662, -32.31788621374391, 3006425.8371668183, 1
112404.21954436383, 119193.03427742407, -19.52502555329706, 2077579.7203380186, 1
112404.21954436383, 123962.689454284, -22.55752824993769, 2297759.4306319263, 1
112565.21758912942, 125113.98553145709, -30.83137421692662, 2898495.255218704, 1
112726.215633895, 126100.81074046259, -36.724462583545574, 3326372.3650184604, 1
112887.21367866058, 127087.6359494681, -38.004937510966954, 3419343.2958837734, 1
113048.21172342617, 128074.4611584736, -34.48499484591968, 3163772.226779752, 1
113209.20976819175, 129225.75723564668, -27.652465102487625, 2667685.4727102784, 1
113370.20781295733, 117877.2673320834, -17.816284093039922, 1953513.8126297125, 1
113370.20781295733, 130377.05331281977, -22.76018170817038, 2312473.4092124435, 1
113531.20585772292, 118864.0925410889, -19.990301656426468, 2111361.836247494, 1
113531.20585772292, 131528.34938999286, -24.581785199313256, 2444733.845252458, 1
113692.2039024885, 119850.9177500944, -22.480605309660547, 2292174.3174763992, 1
113692.2039024885, 132515.17459899836, -30.549895683875548, 2878058.0559608783, 1
113853.20194725409, 133830.94154433903, -37.499405178421775, 3382638.3120275983, 1
114014.19999201967, 117054.91299124548, -17.690377962807716, 1944372.196594395, 1
114497.19412631642, 117877.2673320834, -17.511049254955477, 1931351.7488348505, 1
114980.18826061317, 118699.62167292132, -18.408085431477566, 1996482.4956891192, 1
114980.18826061317, 120508.80122276474, -25.8890500424664, 2539649.900813341, 1
115141.18630537875, 121824.56816810541, -31.195768583727087, 2924952.6912512393, 1
115302.18435014434, 122811.39337711092, -33.41262990715927, 3085911.45461715, 1
115302.18435014434, 134159.8832806742, -36.231698463723006, 3290594.437676151, 1
115463.18239490992, 119686.44688192682, -21.682870074379082, 2234253.4743424123, 1
115463.18239490992, 123798.21858611642, -34.22561473202384, 3144939.5186021626, 1
115624.1804396755, 124949.5146632895, -33.25546828308217, 3074500.483442434, 1
115785.17848444109, 125936.33987229501, -30.45493954114967, 2871163.6132884375, 1
115946.17652920667, 126923.16508130051, -25.619692775967714, 2520092.7855075775, 1
116107.17457397225, 121002.2138272675, -29.17371713937783, 2778138.4108519503, 1
116107.17457397225, 127909.99029030601, -19.169610442980236, 2051774.237589289, 1
116268.17261873784, 129061.2863674791, -12.942038417350798, 1599611.4065532226, 1
116429.17066350342, 130212.58244465219, -12.064644267336046, 1535906.8004607614, 1
116590.168708269, 131363.87852182527, -17.27699116708669, 1914357.5868721965, 1
116590.168708269, 134159.8832806742, -30.28680740346323, 2858956.110420293, 1
116751.16675303459, 132350.70373083078, -23.692261551538568, 2380148.5575679406, 1
116912.16479780017, 122646.92250894333, -34.826381273433725, 3188559.1345676933, 1
117073.16284256575, 133337.52893983628, -27.580170904951864, 2662436.436827478, 1
117395.15893209692, 123633.74771794883, -33.154404560497085, 3067162.590162188, 1
118039.15111115926, 124785.04379512192, -26.47389988415873, 2582113.8593291594, 1
118361.14720069042, 125771.86900412742, -20.42377015164406, 2142834.5098923594, 1
118522.145245456, 126758.69421313293, -16.287319729381565, 1842500.9086633155, 1
118522.145245456, 134324.35414884178, -23.576422325258633, 2371737.8652011235, 1
118683.14329022159, 127745.51942213843, -14.136770769216477, 1686356.8605321934, 1
119005.13937975276, 128896.81549931152, -16.425897216782843, 1852562.5488600654, 1
119327.13546928392, 130048.1115764846, -24.718450862344376, 2454656.674381893, 1
119488.1335140495, 131199.4076536577, -32.01230165470993, 2984238.3813228616, 1
119649.13155881509, 132186.2328626632, -33.24014900549781, 3073388.202782578, 1
119810.12960358067, 133173.0580716687, -29.71687970188714, 2817575.597763039, 1
119971.12764834626, 134324.35414884178, -22.735945970781618, 2310713.734722153, 1
121098.11396170534, 129061.2863674791, -16.53553632200485, 1860523.0715172775, 1
