x_coord, y_coord, z_coord, cost, zone
111500, 119200, 0, 0, 1
101846.31634055982, 108440.15724850183, -28.064463227196626, 2697599.255751774, 1
102133.03012526555, 109422.9396595558, -22.72681608368403, 2310050.844661613, 1
102419.74390997128, 110405.72207060979, -19.467265504269555, 2073385.959562298, 1
102706.45769467701, 111388.50448166377, -20.337300005822648, 2136556.206602763, 1
103136.5283717356, 112698.88102973574, -25.586170409852713, 2517658.8404800124, 1
103423.24215644134, 109750.5337965738, -22.87009599870785, 2320453.9121397818, 1
103566.5990487942, 113845.46050929872, -27.66153589425904, 2668344.0720601087, 1
103853.31283349993, 114828.2429203527, -25.155384989832235, 2486380.975802753, 1
104140.02661820567, 115811.02533140668, -21.237980059915486, 2201951.52301826, 1
104570.09729526426, 110733.31620762778, -26.44582515368207, 2580075.4486033325, 1
104570.09729526426, 116793.80774246066, -18.00192421495421, 1966992.5107054943, 1
104856.81107997, 111716.09861868176, -30.9575825546115, 2907658.813509655, 1
104856.81107997, 117776.59015351464, -18.171278457418254, 1979288.7464463843, 1
105000.16797232286, 112698.88102973574, -32.84216514875017, 3044491.948089244, 1
105143.52486467572, 113681.66344078972, -30.747046854819235, 2892372.532169118, 1
105143.52486467572, 118759.37256456862, -21.54460900445865, 2224214.8081431277, 1
105430.23864938146, 119742.1549756226, -26.452386369732032, 2580551.836192586, 1
105716.95243408719, 120724.93738667658, -30.75654241593522, 2893061.972576842, 1
106003.66621879292, 115647.22826289768, -19.59751158189077, 2082842.6844217107, 1
106147.02311114578, 121871.51686623956, -33.96730475669355, 3126184.509547346, 1
106290.38000349865, 112207.48982420875, -34.105955076369185, 3136251.4378479067, 1
106433.73689585151, 122854.29927729354, -34.67119639375464, 3177291.688082786, 1
106720.45068055725, 123837.08168834752, -33.06323193143751, 3060542.8555531106, 1
107150.52135761584, 125147.4582364195, -26.848661996178777, 2609324.0620917543, 1
107867.30581938017, 113517.86637228073, -30.879921868415398, 2902020.1351312893, 1
107867.30581938017, 126294.03771598247, -19.86644042024664, 2102368.6930166795, 1
107867.30581938017, 127276.82012703645, -16.730341385011002, 1874667.20480494, 1
108010.66271173304, 114500.6487833347, -26.36262205372055, 2574034.3544056662, 1
108154.0196040859, 115483.43119438869, -21.64527754630465, 2231524.0086935237, 1
108154.0196040859, 128259.60253809043, -15.959154477645345, 1818673.9454966048, 1
108440.73338879163, 116793.80774246066, -20.801083324207813, 2170229.9364874274, 1
108584.0902811445, 117776.59015351464, -25.209003316084, 2490274.0201695845, 1
108727.44717349736, 118759.37256456862, -31.137376584554218, 2920713.0467240945, 1
108870.80406585023, 119742.1549756226, -34.85909388477165, 3190934.2860540617, 1
109014.1609582031, 120724.93738667658, -34.59469482966948, 3171737.16961988, 1
109014.1609582031, 127932.00840107244, -19.24476654048395, 2057231.066298302, 1
109157.51785055596, 121707.71979773056, -31.64824017315497, 2957805.114956194, 1
109300.87474290883, 122690.50220878454, -28.062371029588007, 2697447.3483968843, 1
109444.23163526169, 123673.28461983852, -25.250959296988718, 2493320.301292741, 1
109730.94541996742, 124819.8640994015, -23.856392967215065, 2392065.581613397, 1
110017.65920467315, 115319.63412587969, -26.067108386093018, 2552578.1117457016, 1
110017.65920467315, 125802.64651045548, -24.802626897354834, 2460768.4100854835, 1
110304.37298937888, 126785.42892150946, -26.68330716659087, 2597318.2101217965, 1
110447.72988173175, 127768.21133256344, -27.92304121399461, 2687331.084208021, 1
111594.58502055467, 116630.01067395166, -33.641617503238926, 3102537.4654106675, 1
111737.94191290754, 117612.79308500564, -35.68471722220964, 3250879.9894660865, 1
111881.2988052604, 118595.57549605962, -35.32545193887654, 3224794.9587452332, 1
112024.65569761327, 119905.9520441316, -29.43434861988018, 2797061.976504192, 1
112311.369482319, 121543.92272922157, -17.612077544411576, 1938687.0694360735, 1
112598.08326702473, 122854.29927729354, -13.542740982402691, 1643226.3774129192, 1
112741.4401593776, 124000.87875685652, -16.831187688152013, 1881989.3119985783, 1
112884.79705173046, 124983.6611679105, -22.00142185229062, 2257382.4358605244, 1
113028.15394408333, 125966.44357896448, -26.305411784559602, 2569880.5112768053, 1
113028.15394408333, 127113.02305852745, -29.695372915685574, 2816014.063140016, 1
113744.93840584766, 118431.77842755063, -27.032269059741736, 2622655.1467130445, 1
114318.36597525912, 122362.90807176655, -12.219617113202833, 1547158.851891473, 1
114318.36597525912, 123509.48755132953, -15.031326489508004, 1751307.509893112, 1
114891.79354467058, 121380.12566071257, -14.049188901644062, 1679997.8389061098, 1
115035.15043702345, 119578.3579071136, -19.856410611769416, 2101640.4627244975, 1
115321.86422172918, 120561.14031816759, -17.380727869927874, 1921889.5561607052, 1
127450, 113700, 0, 0, 2
119765.92788466801, 111060.91034464577, -26.99709307513993, 2620101.1380694546, 2
121056.1399158438, 111060.91034464577, -28.08304631044198, 2698948.510243736, 2
121199.49680819667, 112371.28689271775, -33.377560788422144, 3083365.205140651, 2
121342.85370054953, 113517.86637228073, -31.735866284365596, 2964167.348962419, 2
121486.2105929024, 114664.4458518437, -24.861977635461145, 2465077.6653868733, 2
121629.56748525526, 115647.22826289768, -19.53186546828911, 2078076.3433098802, 2
121772.92437760813, 116630.01067395166, -18.39696113608244, 1995674.7984230835, 2
121916.281269961, 117612.79308500564, -21.361017161596507, 2210884.828645173, 2
122202.99505466672, 118595.57549605962, -25.799557781316558, 2533152.172004939, 2
122346.35194701959, 121543.92272922157, -26.292799950129556, 2568964.808859077, 2
122633.06573172532, 119742.1549756226, -28.474340466018855, 2727359.0484800446, 2
122776.42262407819, 120724.93738667658, -27.232486643791212, 2637192.264751091, 2
123206.49330113678, 110897.11327613678, -27.114854156882366, 2628651.3698270954, 2
124353.34843995971, 117448.99601649665, -26.273017635525342, 2567528.4822555343, 2
125213.4897940769, 110897.11327613678, -26.266122865807446, 2567027.876468535, 2
125356.84668642977, 112207.48982420875, -25.919387175415007, 2541852.5768904877, 2
125786.91736348836, 114336.85171482571, -19.60087779386531, 2083087.0936280608, 2
125930.27425584123, 115974.82239991568, -23.394635898751794, 2358538.970846312, 2
127793.91385642848, 110897.11327613678, -23.28249546636725, 2350396.8353283405, 2
127937.27074878135, 112043.69275569975, -18.575529131553264, 2008640.0134430353, 2
128223.98453348708, 113681.66344078972, -15.090032014585649, 1755569.9184702146, 2
128367.34142583994, 114828.2429203527, -17.035148175413408, 1896798.189512971, 2
130661.05170348579, 110897.11327613678, -12.964172889642947, 1601218.5153291498, 2
130947.76548819152, 112535.08396122674, -16.820883631676573, 1881241.1694916883, 2
131091.12238054437, 113517.86637228073, -19.812036538226245, 2098418.612116378, 2
133241.47576583736, 110897.11327613678, -13.669523211939245, 1652431.604039988, 2
133528.1895505431, 112371.28689271775, -17.408096157770178, 1923876.6744887563, 2
134818.40158171888, 111716.09861868176, -15.74770321941509, 1803321.1885707837, 2
135391.82915113034, 110897.11327613678, -18.645322618107933, 2013707.4812039156, 2
136538.68428995326, 110897.11327613678, -20.79416817607565, 2169727.8510930543, 2
