x_coord, y_coord, z_coord, cost, zone
113800, 120400, 0, 0, 1
129800, 118600, 0, 0, 1
125500, 129000, 0, 0, 1
101896.99647765495, 121381.82475106814, -38.161478590722716, 3430709.211445168, 1
102781.7471171518, 121726.11283408108, -36.573229196184855, 3315391.8229557155, 1
103666.49775664865, 121209.68070956167, -33.39974767355684, 3084976.119434872, 1
104020.39801244739, 113807.48692478338, -19.33807408828168, 2064005.8100982325, 1
104020.39801244739, 122070.40091709403, -31.73734610952044, 2964274.794035507, 1
104728.19852404487, 121209.68070956167, -31.030255544271007, 2912935.3522006674, 1
105082.09877984361, 113807.48692478338, -20.186004110857724, 2125571.1260754024, 1
105082.09877984361, 122586.83304161344, -28.025100637541673, 2694741.271949733, 1
105435.99903564235, 114668.20713231574, -18.08289355935125, 1972871.4195063924, 1
105966.84941934046, 121037.5366680552, -31.92219603554886, 2977696.118674682, 1
105966.84941934046, 122931.12112462638, -25.632157363787048, 2520997.796849541, 1
106143.79954723983, 113807.48692478338, -19.37757645145051, 2066873.9423798868, 1
106320.7496751392, 122070.40091709403, -28.885008064043298, 2757176.2265027664, 1
106497.69980303857, 114668.20713231574, -17.039258406666445, 1897096.6194294677, 1
106851.60005883731, 115701.07138135457, -15.613431433634656, 1793572.1707293382, 1
106851.60005883731, 123275.40920763933, -22.870798041186163, 2320504.885057187, 1
107028.55018673668, 121037.5366680552, -33.477812793028036, 3090644.1623382694, 1
107382.45044253542, 113635.34288327691, -17.050946883226224, 1897945.2799716531, 1
107913.30082623354, 116389.64754738046, -15.999772516946454, 1821623.0832289243, 1
108267.20108203228, 120865.39262654872, -34.01631600023187, 3129743.0493024355, 1
108267.20108203228, 123791.84133215874, -21.698950188885583, 2235420.99678434, 1
108444.15120993165, 113635.34288327691, -15.084326108667033, 1755155.6320415437, 1
108444.15120993165, 121898.25687558755, -30.792314677065942, 2895659.274831856, 1
108798.05146573039, 114840.35117382222, -14.964890461906638, 1746483.8158114706, 1
108798.05146573039, 122758.97708311991, -27.627336474051095, 2665860.9684368386, 1
108975.00159362976, 116045.35946436752, -16.47574594190613, 1856181.8953056019, 1
109151.95172152913, 117250.36775491282, -20.34850209223909, 2137369.5520103667, 1
109151.95172152913, 124136.12941517169, -25.427131471804913, 2506111.5639207507, 1
109505.85197732787, 113635.34288327691, -14.97559636706001, 1747261.1351845793, 1
109859.75223312661, 120693.24858504225, -31.065102806320724, 2915465.493417406, 1
110036.70236102598, 121726.11283408108, -30.198080449143067, 2852513.947938751, 1
110213.65248892535, 123619.69729065227, -31.536200344466696, 2949670.2839305555, 1
110390.60261682472, 117766.79987943223, -24.650890799144157, 2449751.3678971403, 1
110390.60261682472, 124652.5615396911, -33.67809074229632, 3105185.6632896117, 1
111098.4031284222, 113635.34288327691, -19.71351769424534, 2091265.4938189937, 1
111275.35325632157, 114668.20713231574, -24.32751482128192, 2426272.137622888, 1
111452.30338422094, 115873.21542286105, -28.010622846786045, 2693690.088787456, 1
111629.25351212031, 117078.22371340635, -29.053652261023654, 2769420.90825524, 1
111806.20364001968, 118111.08796244518, -28.902393278480602, 2758438.5078133293, 1
111806.20364001968, 125168.99366421052, -38.12606575916349, 3428138.00614928, 1
111983.15376791905, 119143.95221148401, -26.766924174308325, 2603389.356754335, 1
112160.10389581842, 120521.10454353578, -22.086801648447356, 2263581.5725681577, 1
112337.05402371779, 121553.96879257461, -20.434326978707148, 2143601.0052121985, 1
