x_coord, y_coord, z_coord, cost, zone
112000, 121500, 0, 0, 1
109900, 132400, 0, 0, 1
104552.10877903023, 135722.13433813676, -21.81305281085819, 2243705.600216856, 1
104552.10877903023, 136713.7148211028, -21.280870062260867, 2205065.62026255, 1
104552.10877903023, 137705.29530406883, -20.2616903001119, 2131066.4429441052, 1
104552.10877903023, 138944.77090777637, -19.73167999738122, 2092584.1968978597, 1
104695.52960480009, 132623.44532886794, -16.136491020811746, 1831549.7489516702, 1
104695.52960480009, 133738.9733722047, -18.932708284942088, 2034573.5773614761, 1
104695.52960480009, 134730.55385517073, -21.23229802437454, 2201538.9697365523, 1
104838.95043056995, 129028.96607811605, -15.263141477305636, 1768138.8079861393, 1
104838.95043056995, 130020.54656108208, -15.40734274818125, 1778608.7719800966, 1
104982.37125633981, 126054.22462921795, -16.045560361371038, 1824947.5829339225, 1
104982.37125633981, 127045.80511218398, -14.48853199833632, 1711897.0473904058, 1
104982.37125633981, 128037.38559515002, -14.790436348210129, 1733817.2957599536, 1
104982.37125633981, 131012.12704404812, -14.916140971928632, 1742944.2810924335, 1
105125.79208210968, 122583.69293883683, -27.577840983244684, 2662267.2691340535, 1
105125.79208210968, 123575.27342180286, -25.855519734102018, 2537215.379126052, 1
105125.79208210968, 124814.7490255104, -21.427115157146773, 2215683.979368893, 1
105269.21290787954, 119361.05636919722, -30.496132176767837, 2874154.4705057116, 1
105269.21290787954, 120848.42709364627, -28.46736002640662, 2726852.2224932946, 1
105269.21290787954, 131879.7599666434, -15.602549262669722, 1792782.0532949555, 1
105269.21290787954, 138325.03310592263, -24.13644899809269, 2412399.4978249166, 1
105412.6337336494, 115518.68199770384, -31.515292011501266, 2948152.200962268, 1
105412.6337336494, 116510.26248066987, -32.93535894607694, 3051258.4328542296, 1
105412.6337336494, 117501.8429636359, -33.341897773335695, 3080775.8348694756, 1
105556.05455941927, 112419.99298843498, -35.467440327758, 3235104.252901394, 1
105556.05455941927, 113411.57347140102, -32.95546564530513, 3052718.3119224114, 1
105556.05455941927, 114403.15395436705, -31.214506432061338, 2926313.1827101046, 1
105556.05455941927, 118493.42344660194, -32.76110809800517, 3038606.671228622, 1
105556.05455941927, 121716.06001624155, -28.758204925801788, 2747969.48176572, 1
105699.47538518913, 109445.25153953688, -26.976196282074678, 2618583.8929740833, 1
105699.47538518913, 110436.83202250292, -32.75829581949881, 3038402.4812480225, 1
105699.47538518913, 111428.41250546895, -35.66380260295686, 3249361.4500718475, 1
105699.47538518913, 132995.28800998017, -18.56933269177121, 2008190.1110183555, 1
105699.47538518913, 136713.7148211028, -26.24905952127875, 2565788.965037678, 1
105842.89621095899, 105478.92960767275, -16.061747879291637, 1826122.9035725764, 1
105842.89621095899, 106470.51009063878, -15.424691656088047, 1779868.4171969227, 1
105842.89621095899, 107462.09057360482, -16.23658026505244, 1838816.8886725567, 1
105842.89621095899, 108453.67105657085, -19.93728250498841, 2107512.2959266915, 1
105842.89621095899, 120104.74173142175, -29.88422966114157, 2829726.3093146416, 1
105842.89621095899, 134110.816053317, -21.793098934883893, 2242256.817125541, 1
105986.31703672885, 123079.48318031985, -30.722374721406286, 2890581.1724472577, 1
105986.31703672885, 124318.95878402739, -29.475660575585554, 2800061.49714731, 1
105986.31703672885, 137705.29530406883, -28.34415012278195, 2717906.37030478, 1
106129.73786249872, 135102.39653628302, -24.872055795009807, 2465809.4062859593, 1
106273.15868826858, 125682.38194810569, -27.41354032707366, 2650337.957111707, 1
106416.57951403844, 126921.85755181323, -23.852702370550297, 2391797.6199375973, 1
106416.57951403844, 136093.97701924905, -27.830304904470836, 2680597.816076952, 1
106560.0003398083, 127913.43803477926, -22.081207137249713, 2263175.3741314355, 1
106703.42116557817, 106098.66740952652, -13.060729424019737, 1608229.1569980315, 1
106703.42116557817, 128905.0185177453, -21.324886677668182, 2208261.5170507827, 1
106846.84199134803, 113287.62591103026, -31.038298573922297, 2913519.3292373465, 1
106846.84199134803, 129896.59900071133, -21.131250535250317, 2194202.2551127058, 1
106846.84199134803, 137209.5050625858, -31.370058323260317, 2937607.2766536325, 1
106990.2628171179, 106966.3003321218, -11.807792923947723, 1517257.697711903, 1
106990.2628171179, 114279.2063939963, -30.186216854621453, 2851652.572676758, 1
106990.2628171179, 130888.17948367736, -21.61985079663816, 2229677.858851189, 1
107133.68364288776, 108329.7234962001, -13.016345509031016, 1605006.5918360113, 1
107133.68364288776, 115394.73443733309, -30.537373476183756, 2877148.8610358834, 1
107277.10446865762, 109321.30397916613, -17.018170585809173, 1895565.5044556123, 1
107277.10446865762, 116386.31492029912, -31.23332162755375, 2927679.290083144, 1
107277.10446865762, 131879.7599666434, -23.535516026280735, 2368767.797913755, 1
107420.52529442748, 110312.88446213216, -22.17535570324381, 2270011.1814031424, 1
107563.94612019735, 111304.4649450982, -26.537801246245415, 2586753.5199656426, 1
107563.94612019735, 117501.8429636359, -30.20072260435458, 2852705.7858453314, 1
107563.94612019735, 132871.34044960944, -25.24621203434281, 2492975.618692715, 1
107563.94612019735, 136589.76726073207, -31.46364132257607, 2944402.0200517518, 1
107707.36694596721, 112296.04542806423, -28.98712117155634, 2764590.312054722, 1
107707.36694596721, 118493.42344660194, -28.16331702299847, 2704776.6937620407, 1
107707.36694596721, 133986.8684929462, -26.0790100276187, 2553442.2494713003, 1
107850.78777173707, 119485.00392956797, -25.230402221055424, 2491827.7219032827, 1
107994.20859750693, 120476.58441253401, -23.414857586040213, 2360007.1988065876, 1
107994.20859750693, 134978.44897591224, -27.862633881780752, 2682945.1132009025, 1
108137.6294232768, 107462.09057360482, -11.364134340128748, 1485045.156379992, 1
108137.6294232768, 121468.16489550004, -24.695915062181868, 2453020.4265538137, 1
108281.05024904666, 122459.74537846608, -29.03551706786221, 2768104.173539444, 1
108281.05024904666, 135970.02945887827, -30.62089944004324, 2883213.3972834432, 1
108424.47107481652, 123451.32586143211, -34.12895756708419, 3137921.570490255, 1
108711.31272635625, 124566.8539047689, -37.286917237250414, 3367210.285078146, 1
108854.73355212611, 125558.43438773493, -37.133779859020045, 3356091.500711925, 1
108998.15437789597, 126673.96243107172, -34.17592217985633, 3141331.5113439565, 1
