x_coord, y_coord, z_coord, cost, zone
107300, 120500, 0, 0, 1
119800, 111500, 0, 0, 1
102257.69108649569, 117644.63373750534, -33.60546311157242, 3099912.417956694, 1
102257.69108649569, 118570.10650490162, -33.49885723861673, 3092172.1279813494, 1
102257.69108649569, 119495.5792722979, -32.984075011187215, 3054795.5407072655, 1
102257.69108649569, 120421.05203969417, -32.636808485237545, 3029581.6989642484, 1
102257.69108649569, 121346.52480709045, -31.996961249482236, 2983124.566656657, 1
102257.69108649569, 122271.99757448673, -30.03233885000504, 2840480.013946776, 1
102257.69108649569, 123197.470341883, -26.563213955843608, 2588598.6504063546, 1
102516.57696556502, 124122.94310927928, -22.150403030085258, 2268199.4526441884, 1
103034.34872370369, 116256.42458641093, -29.528004507587855, 2803862.0120806284, 1
103034.34872370369, 117181.8973538072, -31.98898459594342, 2982545.4089638256, 1
103293.23460277302, 118261.61558243619, -33.04523188590576, 3059235.933447205, 1
103293.23460277302, 124894.17041544284, -18.48895057163208, 2002353.838574262, 1
103422.67754230769, 119341.33381106518, -33.70032887834854, 3106800.2987387013, 1
103552.12048184236, 115330.95181901465, -26.22034505633579, 2563704.1053673504, 1
103552.12048184236, 120266.80657846146, -34.38129126370198, 3156242.6622671043, 1
103681.56342137702, 121346.52480709045, -34.488733082025604, 3164043.6473934, 1
103811.00636091169, 122271.99757448673, -33.01606576737218, 3057118.280745285, 1
103940.44930044636, 116564.91550887635, -29.069953742133176, 2770604.5033735665, 1
103940.44930044636, 123197.470341883, -29.772568363113233, 2821618.9621132175, 1
104069.89223998103, 114405.47905161837, -25.476997825987716, 2509732.19035236, 1
104069.89223998103, 124122.94310927928, -24.68367660603503, 2452131.833863743, 1
104199.33517951569, 125665.39772160641, -16.471619348806254, 1855882.2774110364, 1
104587.6639981197, 113480.0062842221, -28.148685100953863, 2703714.319650917, 1
104717.10693765436, 124894.17041544284, -21.16207163850982, 2196440.0706286267, 1
105105.43575625836, 112708.77897805853, -32.42994582605231, 3014562.10461385, 1
105234.87869579303, 126590.87048900269, -19.986050388218423, 2111053.1661172197, 1
105364.3216353277, 114251.23359038566, -28.798089281920277, 2750865.3492566724, 1
105493.76457486236, 111783.30621066225, -35.81787237016681, 3260547.9320317535, 1
105493.76457486236, 115485.19728024736, -26.155148040525006, 2558970.371719183, 1
105623.20751439703, 116410.67004764364, -25.653540479439865, 2522550.3521744986, 1
105752.6504539317, 117336.14281503992, -26.178941517730483, 2560697.93520125, 1
105882.09339346636, 118261.61558243619, -26.90150250890191, 2613160.6320628375, 1
105882.09339346636, 121038.03388462502, -28.4935730637594, 2728755.4620111533, 1
106011.53633300103, 110857.83344326598, -36.634103852741674, 3319811.7247944735, 1
106011.53633300103, 119187.08834983247, -27.143494925291986, 2630730.8786427053, 1
106011.53633300103, 126128.13410530455, -22.440170282559002, 2289238.467637649, 1
106140.9792725357, 120112.56111722875, -26.794146531636923, 2605365.8795639495, 1
106140.9792725357, 127362.09779516625, -26.71985674088483, 2599971.9504427286, 1
106399.86515160503, 121963.5066520213, -25.17194168041791, 2487583.1008134307, 1
106529.3080911397, 109932.3606758697, -33.862718697800815, 3118590.8714037444, 1
106529.3080911397, 122888.97941941758, -24.47868180252268, 2437247.858163043, 1
106658.75103067436, 123814.45218681385, -23.706582789536114, 2381188.373966733, 1
106788.19397020903, 124739.92495421013, -22.82161782452118, 2316934.0767378793, 1
106917.6369097437, 125665.39772160641, -22.780628508383383, 2313957.981856789, 1
107176.52278881303, 108852.64244724071, -26.302985884478257, 2569704.374919959, 1
107176.52278881303, 127053.60687270082, -26.057236791163742, 2551861.3688013093, 1
107435.40866788237, 109778.11521463699, -33.73020991829367, 3108969.859453581, 1
107564.85160741703, 110703.58798203326, -37.53766244098685, 3385416.041787756, 1
107694.2945469517, 111629.06074942954, -36.68495126930772, 3323503.582830118, 1
107823.73748648637, 112554.53351682582, -32.04579751600861, 2986670.401925831, 1
107953.18042602103, 113480.0062842221, -25.500385468523948, 2511430.287558931, 1
107953.18042602103, 126590.87048900269, -21.893459596837534, 2249543.663563744, 1
108082.6233655557, 114405.47905161837, -19.684994838423293, 2089194.5462354647, 1
108212.06630509037, 109161.13336970613, -27.670295589674808, 2668980.083761283, 1
108212.06630509037, 115330.95181901465, -16.643606925657437, 1868369.7106084393, 1
108341.50924462503, 116256.42458641093, -16.54469107131279, 1861187.7667383791, 1
108470.9521841597, 117181.8973538072, -17.753033339486805, 1948921.3904667827, 1
108600.39512369437, 125356.90679914098, -16.216164300652576, 1837334.5549117615, 1
108729.83806322904, 118724.35196613433, -17.482313470448926, 1929265.341223497, 1
108859.2810027637, 126282.37956653726, -16.82716343413729, 1881697.1245970326, 1
108988.72394229837, 119804.07019476332, -15.375990405698786, 1776332.3849904097, 1
109118.16688183304, 120883.78842339231, -14.89804341426182, 1741630.2789619425, 1
109247.6098213677, 121809.26119078859, -15.389634956842697, 1777323.0694574951, 1
109377.05276090237, 122734.73395818486, -14.98460434578746, 1747915.173892852, 1
109635.9386399717, 109778.11521463699, -26.742126160567842, 2601588.857289885, 1
109635.9386399717, 123660.20672558114, -13.209126822977659, 1619003.7875852096, 1
109765.38157950637, 110703.58798203326, -28.222128270206866, 2709046.7784636016, 1
109765.38157950637, 124585.67949297742, -11.736829418047444, 1512105.2788244036, 1
110024.2674585757, 111629.06074942954, -24.36278852567473, 2428833.241368255, 1
110153.71039811037, 112554.53351682582, -18.787183347660587, 2024007.5064502533, 1
110153.71039811037, 125665.39772160641, -12.062082552023517, 1535720.8030217506, 1
110412.5962771797, 113788.49720668752, -12.508532090022427, 1568135.9860474225, 1
110671.48215624904, 115176.70635778194, -11.36374453016429, 1485016.8536038266, 1
111059.81097485304, 117644.63373750534, -15.479822774243589, 1783871.3002403947, 1
111189.25391438771, 125202.66133790827, -12.535159095871858, 1570069.2824103297, 1
111318.69685392237, 119649.82473353061, -14.893149493935262, 1741274.9480463602, 1
111707.02567252638, 107464.4332961463, -20.24649578862536, 2129963.221126406, 1
111707.02567252638, 121500.77026832316, -17.585336256870118, 1936745.4754680658, 1
111836.46861206104, 106230.46960628459, -25.184532248807614, 2488497.259176275, 1
111836.46861206104, 108544.15152477528, -21.60074668749533, 2228290.774440299, 1
111965.91155159571, 105304.99683888831, -31.195048177524484, 2924900.3850062494, 1
111965.91155159571, 122580.48849695215, -16.952851082458874, 1890822.8774036586, 1
112095.35449113038, 109469.62429217156, -25.15853808350196, 2486609.911213593, 1
112095.35449113038, 123660.20672558114, -15.217306652786949, 1764810.8972162409, 1
112224.79743066504, 110395.09705956784, -27.711746606626185, 2671989.7011686647, 1
112224.79743066504, 124585.67949297742, -15.60179739639688, 1792727.4628412297, 1
112354.24037019971, 111474.81528819683, -27.88237761749246, 2684378.638722228, 1
112483.68330973438, 107001.69691244815, -24.695266216682356, 2452973.3160881693, 1
112483.68330973438, 112400.2880555931, -26.275250255790763, 2567690.585222098, 1
112613.12624926904, 107927.16967984443, -23.5322090241499, 2368527.6877328423, 1
112742.56918880371, 105921.97868381916, -30.314908689961506, 2860996.449288559, 1
112742.56918880371, 113634.2517454548, -23.960584449814476, 2399630.5709139, 1
112872.01212833838, 115022.46089654922, -20.674761040456477, 2161058.104960007, 1
113130.89800740771, 116102.17912517821, -20.34581612163707, 2137174.5328172543, 1
113260.34094694238, 117490.38827627263, -19.420144180105392, 2069964.6404272404, 1
113389.78388647705, 118415.8610436689, -19.38037810606592, 2067077.3609958861, 1
113519.22682601171, 124122.94310927928, -20.9853552696176, 2183609.2959190174, 1
113648.66976554638, 106538.96052875002, -28.08823404762457, 2699325.1742022582, 1
113648.66976554638, 119495.5792722979, -20.966185382125104, 2182217.4355658046, 1
113778.11270508105, 120421.05203969417, -22.238303570423916, 2274581.612016341, 1
113907.55564461571, 121346.52480709045, -23.020050770824525, 2331341.6182969483, 1
114166.44152368505, 122426.24303571944, -23.28512918410216, 2350588.060618432, 1
114295.88446321971, 123505.96126434843, -23.602556204784825, 2373635.3573383302, 1
114684.21328182372, 107310.18783491358, -23.342202927551, 2354731.9910795246, 1
114684.21328182372, 108389.90606354257, -23.082082695102308, 2335845.5454102154, 1
114813.65622135838, 109315.37883093885, -25.309098114555844, 2497541.5631643105, 1
114943.09916089305, 110240.85159833512, -29.607846008339077, 2809659.031989072, 1
115201.98503996238, 111320.56982696411, -34.63858912708312, 3174924.1853144737, 1
115331.42797949705, 112246.04259436039, -37.594617092898226, 3389551.3254172243, 1
115590.31385856638, 113480.0062842221, -37.011372087133324, 3347203.888581654, 1
115719.75679810105, 114559.72451285108, -33.87951797929397, 3119810.6101154056, 1
115849.19973763572, 115947.9336639455, -30.9000320957989, 2903480.270366832, 1
115849.19973763572, 123043.22488065029, -30.9486275573675, 2907008.6216067593, 1
115978.64267717038, 108544.15152477528, -17.245470706975, 1912068.9934330508, 1
116108.08561670505, 117336.14281503992, -32.46232576738618, 3016913.1020623017, 1
116237.52855623972, 118261.61558243619, -33.973102381534034, 3126605.455375089, 1
116366.97149577439, 119341.33381106518, -34.21749747620204, 3144350.152255611, 1
116496.41443530905, 120266.80657846146, -33.8513840503117, 3117767.9011873617, 1
116625.85737484372, 121192.27934585774, -34.18286165222759, 3141835.362838628, 1
116755.30031437839, 122580.48849695215, -35.34273341355741, 3226049.7078647977, 1
117143.62913298239, 109161.13336970613, -12.99049955604036, 1603130.0050656, 1
117402.51501205172, 110086.60613710241, -14.897616496413267, 1741599.2819084793, 1
117661.40089112105, 111166.3243657314, -19.680924712672578, 2088899.0282431329, 1
117790.84383065572, 112091.79713312768, -24.318922657331512, 2425648.2898118063, 1
118049.72970972506, 113325.76082298938, -26.600604363990797, 2591313.440814534, 1
118179.17264925972, 121963.5066520213, -38.30248123179323, 3440946.9338043183, 1
118308.61558879439, 114405.47905161837, -24.272144802367603, 2422251.9088075836, 1
118567.50146786372, 115793.68820271279, -20.402284770496355, 2141274.5294175204, 1
118826.38734693306, 117181.8973538072, -19.97009561804607, 2109894.744501224, 1
118955.83028646772, 118107.37012120348, -21.462157614640816, 2218228.29306318, 1
118955.83028646772, 121038.03388462502, -34.5597854556168, 3169202.518661787, 1
119085.27322600239, 119187.08834983247, -24.626271940781916, 2447963.8762955763, 1
119085.27322600239, 120112.56111722875, -29.36776741428614, 2792227.741542108, 1
119603.04498414106, 111012.07890449869, -18.214535847835613, 1982429.5184894614, 1
119861.9308632104, 111937.55167189497, -20.45965178669954, 2145439.7534161787, 1
119991.37380274506, 113171.51536175667, -20.917381273119254, 2178673.9351448603, 1
131000, 115900, 0, 0, 2
137000, 108800, 0, 0, 2
125557.42020273574, 121038.03388462502, -30.070570881540025, 2843255.911767624, 2
126075.1919608744, 122734.73395818486, -23.347406348572935, 2355109.7937882957, 2
127369.62135622108, 119495.5792722979, -33.23955215420061, 3073344.867439182, 2
